Year,estimates start after,country,subject descriptor,units,Value,scale,country/series-specific notes
2018,2022,Cambodia,Volume of exports of goods and services,Percent change,14.61,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2018,2022,Cambodia,Volume of exports of goods,Percent change,13.83,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2018,2022,Cambodia,Population,Persons,15.82,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2018,2022,Cambodia,General government revenue,National currency,21956.89,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2018,2022,Cambodia,General government revenue,Percent of GDP,16.35,Units,See notes for:  General government revenue (National currency).
2018,2022,Cambodia,General government total expenditure,National currency,21583.93,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2018,2022,Cambodia,General government total expenditure,Percent of GDP,16.07,Units,See notes for:  General government total expenditure (National currency).
2018,2022,Cambodia,General government net lending/borrowing,National currency,372.95,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2018,2022,Cambodia,General government net lending/borrowing,Percent of GDP,0.28,Units,See notes for:  General government net lending/borrowing (National currency).
2018,2022,Cambodia,General government primary net lending/borrowing,National currency,710.97,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2018,2022,Cambodia,General government primary net lending/borrowing,Percent of GDP,0.53,Units,See notes for:  General government primary net lending/borrowing (National currency).
2018,2022,Cambodia,General government gross debt,National currency,28317.59,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2018,2022,Cambodia,General government gross debt,Percent of GDP,21.09,Units,See notes for:  General government gross debt (National currency).
2018,2022,Cambodia,"Gross domestic product corresponding to fiscal year, current prices",National currency,134279.54,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2018,2022,Cambodia,Current account balance,U.S. dollars,-2.9,Billions,"Source: Central Bank Latest actual data: 2023 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2018,2022,Cambodia,Current account balance,Percent of GDP,-8.73,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
2019,2022,Cambodia,"Gross domestic product, constant prices",National currency,130631.94,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,"Gross domestic product, constant prices",Percent change,7.94,Units,"See notes for:  Gross domestic product, constant prices (National currency)."
2019,2022,Cambodia,"Gross domestic product, current prices",National currency,148984.7,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,"Gross domestic product, current prices",U.S. dollars,36.68,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2019,2022,Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,101.43,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2019,2022,Cambodia,"Gross domestic product, deflator",Index,114.05,Units,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."
2019,2022,Cambodia,"Gross domestic product per capita, constant prices",National currency,8124550.64,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2019,2022,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,6610.38,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2019,2022,Cambodia,"Gross domestic product per capita, current prices",National currency,9265986.19,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2019,2022,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,2281.38,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2019,2022,Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,6308.1,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2019,2022,Cambodia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.07,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2019,2022,Cambodia,Implied PPP conversion rate,National currency per current international dollar,1468.9,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2019,2022,Cambodia,Total investment,Percent of GDP,31.4,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,Gross national savings,Percent of GDP,23.4,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,"Inflation, average consumer prices",Index,177.43,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,"Inflation, average consumer prices",Percent change,1.94,Units,"See notes for:  Inflation, average consumer prices (Index)."
2019,2022,Cambodia,"Inflation, end of period consumer prices",Index,179.95,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,"Inflation, end of period consumer prices",Percent change,3.07,Units,"See notes for:  Inflation, end of period consumer prices (Index)."
2019,2022,Cambodia,Volume of imports of goods and services,Percent change,18.03,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2019,2022,Cambodia,Volume of Imports of goods,Percent change,18.88,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2019,2022,Cambodia,Volume of exports of goods and services,Percent change,13.86,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2019,2022,Cambodia,Volume of exports of goods,Percent change,15.02,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2019,2022,Cambodia,Population,Persons,16.08,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,General government revenue,National currency,29461.18,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,General government revenue,Percent of GDP,19.78,Units,See notes for:  General government revenue (National currency).
2019,2022,Cambodia,General government total expenditure,National currency,26201.37,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,General government total expenditure,Percent of GDP,17.59,Units,See notes for:  General government total expenditure (National currency).
2019,2022,Cambodia,General government net lending/borrowing,National currency,3259.8,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,General government net lending/borrowing,Percent of GDP,2.19,Units,See notes for:  General government net lending/borrowing (National currency).
2019,2022,Cambodia,General government primary net lending/borrowing,National currency,3626.36,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,General government primary net lending/borrowing,Percent of GDP,2.43,Units,See notes for:  General government primary net lending/borrowing (National currency).
2019,2022,Cambodia,General government gross debt,National currency,31041.5,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,General government gross debt,Percent of GDP,20.84,Units,See notes for:  General government gross debt (National currency).
2019,2022,Cambodia,"Gross domestic product corresponding to fiscal year, current prices",National currency,148984.7,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2019,2022,Cambodia,Current account balance,U.S. dollars,-2.93,Billions,"Source: Central Bank Latest actual data: 2023 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2019,2022,Cambodia,Current account balance,Percent of GDP,-7.99,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
2020,2022,Cambodia,"Gross domestic product, constant prices",National currency,125987.03,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,"Gross domestic product, constant prices",Percent change,-3.56,Units,"See notes for:  Gross domestic product, constant prices (National currency)."
2020,2022,Cambodia,"Gross domestic product, current prices",National currency,142502.83,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,"Gross domestic product, current prices",U.S. dollars,34.9,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2020,2022,Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,99.39,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2020,2022,Cambodia,"Gross domestic product, deflator",Index,113.11,Units,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."
2020,2022,Cambodia,"Gross domestic product per capita, constant prices",National currency,7711247.21,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2020,2022,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,6274.1,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2020,2022,Cambodia,"Gross domestic product per capita, current prices",National currency,8722124.48,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2020,2022,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,2136.01,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2020,2022,Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,6083.35,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2020,2022,Cambodia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.07,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2020,2022,Cambodia,Implied PPP conversion rate,National currency per current international dollar,1433.77,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2020,2022,Cambodia,Total investment,Percent of GDP,31.35,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,Gross national savings,Percent of GDP,28.86,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,"Inflation, average consumer prices",Index,182.65,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,"Inflation, average consumer prices",Percent change,2.94,Units,"See notes for:  Inflation, average consumer prices (Index)."
2020,2022,Cambodia,"Inflation, end of period consumer prices",Index,185.13,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,"Inflation, end of period consumer prices",Percent change,2.88,Units,"See notes for:  Inflation, end of period consumer prices (Index)."
2020,2022,Cambodia,Volume of imports of goods and services,Percent change,-3.36,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2020,2022,Cambodia,Volume of Imports of goods,Percent change,1.15,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2020,2022,Cambodia,Volume of exports of goods and services,Percent change,-1.1,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2020,2022,Cambodia,Volume of exports of goods,Percent change,26.94,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2020,2022,Cambodia,Population,Persons,16.34,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,General government revenue,National currency,25334.07,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,General government revenue,Percent of GDP,17.78,Units,See notes for:  General government revenue (National currency).
2020,2022,Cambodia,General government total expenditure,National currency,28936.86,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,General government total expenditure,Percent of GDP,20.31,Units,See notes for:  General government total expenditure (National currency).
2020,2022,Cambodia,General government net lending/borrowing,National currency,-3602.79,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,General government net lending/borrowing,Percent of GDP,-2.53,Units,See notes for:  General government net lending/borrowing (National currency).
2020,2022,Cambodia,General government primary net lending/borrowing,National currency,-3221.92,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,General government primary net lending/borrowing,Percent of GDP,-2.26,Units,See notes for:  General government primary net lending/borrowing (National currency).
2020,2022,Cambodia,General government gross debt,National currency,35948.73,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,General government gross debt,Percent of GDP,25.23,Units,See notes for:  General government gross debt (National currency).
2020,2022,Cambodia,"Gross domestic product corresponding to fiscal year, current prices",National currency,142502.83,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2020,2022,Cambodia,Current account balance,U.S. dollars,-0.87,Billions,"Source: Central Bank Latest actual data: 2023 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2020,2022,Cambodia,Current account balance,Percent of GDP,-2.49,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
2021,2022,Cambodia,"Gross domestic product, constant prices",National currency,129879.83,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2021,2022,Cambodia,"Gross domestic product, constant prices",Percent change,3.09,Units,"See notes for:  Gross domestic product, constant prices (National currency)."
2021,2022,Cambodia,"Gross domestic product, current prices",National currency,150792.68,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2021,2022,Cambodia,"Gross domestic product, current prices",U.S. dollars,36.8,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2021,2022,Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,105.67,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2021,2022,Cambodia,"Gross domestic product, deflator",Index,116.1,Units,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."
2021,2022,Cambodia,"Gross domestic product per capita, constant prices",National currency,7827816.55,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2021,2022,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,6368.94,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2021,2022,Cambodia,"Gross domestic product per capita, current prices",National currency,9088227.68,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2021,2022,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,2217.72,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
